== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

OK   P2         openai/gpt-5-mini                      r1 b  $1.3848
OK   P2         openai/gpt-5-mini                      r2 c  $1.3858
TRUNC P3         openai/gpt-5-mini                      r0 -  $1.3892
TRUNC P3         openai/gpt-5-mini                      r1 -  $1.3925
OK   P3         openai/gpt-5-mini                      r2 -  $1.3959
TRUNC P4         openai/gpt-5-mini                      r0 -  $1.3993
TRUNC P4         openai/gpt-5-mini                      r1 -  $1.4026
TRUNC P4         openai/gpt-5-mini                      r2 -  $1.4059
FAIL P5         openai/gpt-5-mini                      r0 -  $1.4095
FAIL P5         openai/gpt-5-mini                      r1 -  $1.4129
FAIL P5         openai/gpt-5-mini                      r2 -  $1.4164
N/A  P6         openai/gpt-5-mini                      r0 -  $1.4230
N/A  P6         openai/gpt-5-mini                      r1 -  $1.4297
N/A  P6         openai/gpt-5-mini                      r2 -  $1.4363
N/A  P7         openai/gpt-5-mini                      r0 -  $1.4430
N/A  P7         openai/gpt-5-mini                      r1 -  $1.4497
N/A  P7         openai/gpt-5-mini                      r2 -  $1.4563
OK   P1         google/gemini-3.1-pro-preview          r0 -  $1.4738
OK   P1         google/gemini-3.1-pro-preview          r1 -  $1.4912
OK   P1         google/gemini-3.1-pro-preview          r2 -  $1.5086
OK   P2         google/gemini-3.1-pro-preview          r0 a  $1.5150
OK   P2         google/gemini-3.1-pro-preview          r1 b  $1.5205
OK   P2         google/gemini-3.1-pro-preview          r2 c  $1.5298
OK   P3         google/gemini-3.1-pro-preview          r0 -  $1.5543
OK   P3         google/gemini-3.1-pro-preview          r1 -  $1.5815
OK   P3         google/gemini-3.1-pro-preview          r2 -  $1.6061
TRUNC P4         google/gemini-3.1-pro-preview          r0 -  $1.6341
TRUNC P4         google/gemini-3.1-pro-preview          r1 -  $1.6622
TRUNC P4         google/gemini-3.1-pro-preview          r2 -  $1.6902
OK   P5         google/gemini-3.1-pro-preview          r0 -  $1.7128
OK   P5         google/gemini-3.1-pro-preview          r1 -  $1.7354
OK   P5         google/gemini-3.1-pro-preview          r2 -  $1.7530
OK   P6         google/gemini-3.1-pro-preview          r0 -  $1.8237
OK   P6         google/gemini-3.1-pro-preview          r1 -  $1.9024
OK   P6         google/gemini-3.1-pro-preview          r2 -  $1.9789
OK   P7         google/gemini-3.1-pro-preview          r0 -  $2.0210
OK   P7         google/gemini-3.1-pro-preview          r1 -  $2.0606
OK   P7         google/gemini-3.1-pro-preview          r2 -  $2.1010
OK   P1         x-ai/grok-4.5                          r0 -  $2.1131
OK   P1         x-ai/grok-4.5                          r1 -  $2.1180
OK   P1         x-ai/grok-4.5                          r2 -  $2.1216
OK   P2         x-ai/grok-4.5                          r0 a  $2.1234
OK   P2         x-ai/grok-4.5                          r1 b  $2.1256
