== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 11 models x 7 probes x n=5, budget $10.00 ==
workers: 6

OK   P2         anthropic/claude-opus-5                r0 a  $0.0087  [1/385, ~38m left]
FAIL P1         anthropic/claude-opus-5                r4 -  $0.0654  [2/385, ~36m left]
FAIL P1         anthropic/claude-opus-5                r0 -  $0.1237  [3/385, ~26m left]
OK   P2         anthropic/claude-opus-5                r1 b  $0.1303  [4/385, ~21m left]
FAIL P1         anthropic/claude-opus-5                r1 -  $0.1898  [5/385, ~17m left]
FAIL P1         anthropic/claude-opus-5                r2 -  $0.2511  [6/385, ~14m left]
FAIL P1         anthropic/claude-opus-5                r3 -  $0.3182  [7/385, ~15m left]
OK   P2         anthropic/claude-opus-5                r3 a  $0.3235  [8/385, ~14m left]
OK   P2         anthropic/claude-opus-5                r4 b  $0.3293  [9/385, ~13m left]
OK   P2         anthropic/claude-opus-5                r2 c  $0.3455  [10/385, ~13m left]
FAIL P4         anthropic/claude-opus-5                r0 -  $0.3697  [11/385, ~20m left]
TRUNC P3         anthropic/claude-opus-5                r0 -  $0.4142  [12/385, ~19m left]
TRUNC P3         anthropic/claude-opus-5                r1 -  $0.4586  [13/385, ~18m left]
TRUNC P3         anthropic/claude-opus-5                r4 -  $0.5031  [14/385, ~18m left]
TRUNC P3         anthropic/claude-opus-5                r2 -  $0.5475  [15/385, ~17m left]
TRUNC P3         anthropic/claude-opus-5                r3 -  $0.5920  [16/385, ~16m left]
FAIL P4         anthropic/claude-opus-5                r1 -  $0.6202  [17/385, ~18m left]
FAIL P4         anthropic/claude-opus-5                r3 -  $0.6560  [18/385, ~19m left]
FAIL P4         anthropic/claude-opus-5                r4 -  $0.6867  [19/385, ~19m left]
TRUNC P4         anthropic/claude-opus-5                r2 -  $0.7310  [20/385, ~18m left]
OK   P5         anthropic/claude-opus-5                r0 -  $0.7709  [21/385, ~18m left]
TRUNC P5         anthropic/claude-opus-5                r1 -  $0.8147  [22/385, ~19m left]
OK   P5         anthropic/claude-opus-5                r2 -  $0.8799  [23/385, ~20m left]
OK   P5         anthropic/claude-opus-5                r3 -  $0.9170  [24/385, ~19m left]
N/A  P6         anthropic/claude-opus-5                r0 -  $1.0074  [25/385, ~20m left]
OK   P5         anthropic/claude-opus-5                r4 -  $1.0356  [26/385, ~20m left]
N/A  P6         anthropic/claude-opus-5                r1 -  $1.0791  [27/385, ~20m left]
N/A  P6         anthropic/claude-opus-5                r2 -  $1.1239  [28/385, ~20m left]
N/A  P6         anthropic/claude-opus-5                r4 -  $1.1388  [29/385, ~20m left]
N/A  P6         anthropic/claude-opus-5                r3 -  $1.1570  [30/385, ~20m left]
OK   P1         anthropic/claude-sonnet-5              r0 -  $1.4067  [31/385, ~23m left]
N/A  P7         anthropic/claude-opus-5                r0 -  $1.4766  [32/385, ~23m left]
N/A  P7         anthropic/claude-opus-5                r1 -  $1.5221  [33/385, ~23m left]
OK   P7         anthropic/claude-opus-5                r3 -  $1.5223  [34/385, ~23m left]
OK   P7         anthropic/claude-opus-5                r4 -  $1.5474  [35/385, ~22m left]
N/A  P7         anthropic/claude-opus-5                r2 -  $1.5925  [36/385, ~22m left]
OK   P2         anthropic/claude-sonnet-5              r0 a  $1.5940  [37/385, ~21m left]
OK   P1         anthropic/claude-sonnet-5              r4 -  $1.6000  [38/385, ~21m left]
OK   P2         anthropic/claude-sonnet-5              r3 a  $1.6015  [39/385, ~21m left]
OK   P2         anthropic/claude-sonnet-5              r1 b  $1.6056  [40/385, ~20m left]
OK   P1         anthropic/claude-sonnet-5              r2 -  $1.6193  [41/385, ~20m left]
OK   P1         anthropic/claude-sonnet-5              r3 -  $1.6318  [42/385, ~19m left]
TRUNC P1         anthropic/claude-sonnet-5              r1 -  $1.6494  [43/385, ~19m left]
OK   P2         anthropic/claude-sonnet-5              r2 c  $1.6547  [44/385, ~18m left]
OK   P2         anthropic/claude-sonnet-5              r4 b  $1.6583  [45/385, ~18m left]
FAIL P3         anthropic/claude-sonnet-5              r1 -  $1.6740  [46/385, ~19m left]
TRUNC P3         anthropic/claude-sonnet-5              r0 -  $1.6918  [47/385, ~19m left]
OK   P3         anthropic/claude-sonnet-5              r4 -  $1.7087  [48/385, ~19m left]
OK   P3         anthropic/claude-sonnet-5              r2 -  $1.7264  [49/385, ~18m left]
FAIL P4         anthropic/claude-sonnet-5              r0 -  $1.7401  [50/385, ~18m left]
TRUNC P3         anthropic/claude-sonnet-5              r3 -  $1.7579  [51/385, ~18m left]
FAIL P4         anthropic/claude-sonnet-5              r2 -  $1.7696  [52/385, ~18m left]
TRUNC P4         anthropic/claude-sonnet-5              r1 -  $1.7874  [53/385, ~18m left]
TRUNC P4         anthropic/claude-sonnet-5              r3 -  $1.8051  [54/385, ~18m left]
TRUNC P4         anthropic/claude-sonnet-5              r4 -  $1.8402  [55/385, ~18m left]
FAIL P5         anthropic/claude-sonnet-5              r0 -  $1.8578  [56/385, ~18m left]
FAIL P5         anthropic/claude-sonnet-5              r1 -  $1.8579  [57/385, ~18m left]
FAIL P5         anthropic/claude-sonnet-5              r2 -  $1.8754  [58/385, ~18m left]
FAIL P5         anthropic/claude-sonnet-5              r4 -  $1.9530  [59/385, ~19m left]
OK   P6         anthropic/claude-sonnet-5              r1 -  $1.9787  [60/385, ~19m left]
FAIL P5         anthropic/claude-sonnet-5              r3 -  $1.9839  [61/385, ~19m left]
N/A  P6         anthropic/claude-sonnet-5              r2 -  $2.0269  [62/385, ~19m left]
FAIL P6         anthropic/claude-sonnet-5              r0 -  $2.0437  [63/385, ~19m left]
FAIL P6         anthropic/claude-sonnet-5              r4 -  $2.0489  [64/385, ~19m left]
N/A  P6         anthropic/claude-sonnet-5              r3 -  $2.1023  [65/385, ~19m left]
OK   P1         anthropic/claude-haiku-4.5             r0 -  $2.1125  [66/385, ~19m left]
N/A  P7         anthropic/claude-sonnet-5              r0 -  $2.1162  [67/385, ~18m left]
OK   P1         anthropic/claude-haiku-4.5             r1 -  $2.1219  [68/385, ~18m left]
OK   P7         anthropic/claude-sonnet-5              r1 -  $2.1221  [69/385, ~18m left]
OK   P7         anthropic/claude-sonnet-5              r2 -  $2.1222  [70/385, ~17m left]
OK   P1         anthropic/claude-haiku-4.5             r2 -  $2.1235  [71/385, ~17m left]
OK   P1         anthropic/claude-haiku-4.5             r3 -  $2.1247  [72/385, ~17m left]
OK   P2         anthropic/claude-haiku-4.5             r0 a  $2.1258  [73/385, ~17m left]
OK   P1         anthropic/claude-haiku-4.5             r4 -  $2.1271  [74/385, ~16m left]
OK   P2         anthropic/claude-haiku-4.5             r1 b  $2.1279  [75/385, ~16m left]
OK   P2         anthropic/claude-haiku-4.5             r2 c  $2.1428  [76/385, ~16m left]
OK   P2         anthropic/claude-haiku-4.5             r3 a  $2.1439  [77/385, ~16m left]
OK   P2         anthropic/claude-haiku-4.5             r4 b  $2.1447  [78/385, ~16m left]
OK   P3         anthropic/claude-haiku-4.5             r0 -  $2.1464  [79/385, ~15m left]
OK   P3         anthropic/claude-haiku-4.5             r1 -  $2.1481  [80/385, ~15m left]
OK   P3         anthropic/claude-haiku-4.5             r3 -  $2.1674  [81/385, ~15m left]
OK   P3         anthropic/claude-haiku-4.5             r2 -  $2.1691  [82/385, ~15m left]
OK   P3         anthropic/claude-haiku-4.5             r4 -  $2.1766  [83/385, ~15m left]
FAIL P4         anthropic/claude-haiku-4.5             r0 -  $2.1780  [84/385, ~14m left]
OK   P7         anthropic/claude-sonnet-5              r3 -  $2.1782  [85/385, ~14m left]
FAIL P4         anthropic/claude-haiku-4.5             r1 -  $2.1796  [86/385, ~14m left]
FAIL P4         anthropic/claude-haiku-4.5             r2 -  $2.1854  [87/385, ~14m left]
FAIL P4         anthropic/claude-haiku-4.5             r4 -  $2.1890  [88/385, ~14m left]
FAIL P4         anthropic/claude-haiku-4.5             r3 -  $2.1904  [89/385, ~14m left]
OK   P7         anthropic/claude-sonnet-5              r4 -  $2.1906  [90/385, ~13m left]
OK   P5         anthropic/claude-haiku-4.5             r0 -  $2.1907  [91/385, ~13m left]
OK   P5         anthropic/claude-haiku-4.5             r1 -  $2.1909  [92/385, ~13m left]
OK   P5         anthropic/claude-haiku-4.5             r2 -  $2.1970  [93/385, ~13m left]
OK   P5         anthropic/claude-haiku-4.5             r4 -  $2.1984  [94/385, ~13m left]
OK   P5         anthropic/claude-haiku-4.5             r3 -  $2.2032  [95/385, ~13m left]
OK   P6         anthropic/claude-haiku-4.5             r0 -  $2.2106  [96/385, ~13m left]
