== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 1 models x 18 probes x n=25, budget $1.00 ==
workers: 6

OK   P11        openai/gpt-5.6-luna                    r19 -  $0.0176  [69/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r17 -  $0.0185  [70/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r16 -  $0.0189  [71/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r23 -  $0.0192  [72/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r21 -  $0.0194  [73/450, ~4m left]
OK   P11        openai/gpt-5.6-luna                    r24 -  $0.0212  [74/450, ~5m left]
OK   P11        openai/gpt-5.6-luna                    r22 -  $0.0226  [75/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r2 a  $0.0228  [76/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r1 b  $0.0233  [77/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r0 a  $0.0235  [78/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r3 b  $0.0243  [79/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r4 a  $0.0250  [80/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r8 a  $0.0284  [81/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r6 a  $0.0294  [82/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r5 b  $0.0296  [83/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r7 b  $0.0299  [84/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r9 b  $0.0301  [85/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r10 a  $0.0305  [86/450, ~5m left]
FAIL P14        openai/gpt-5.6-luna                    r11 b  $0.0342  [87/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r13 b  $0.0347  [88/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r15 b  $0.0359  [89/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r16 a  $0.0364  [90/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r14 a  $0.0366  [91/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r12 a  $0.0375  [92/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r17 b  $0.0395  [93/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r18 a  $0.0400  [94/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r20 a  $0.0411  [95/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r19 b  $0.0421  [96/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r21 b  $0.0426  [97/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r22 a  $0.0437  [98/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r23 b  $0.0442  [99/450, ~6m left]
FAIL P14        openai/gpt-5.6-luna                    r24 a  $0.0448  [100/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r2 c  $0.0450  [101/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r4 b  $0.0466  [102/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r3 a  $0.0469  [103/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r1 b  $0.0471  [104/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r5 c  $0.0482  [105/450, ~6m left]
OK   P15        openai/gpt-5.6-luna                    r6 a  $0.0485  [106/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r8 c  $0.0495  [107/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r9 a  $0.0504  [108/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r0 a  $0.0507  [109/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r7 b  $0.0510  [110/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r11 c  $0.0519  [111/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r10 b  $0.0523  [112/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r12 a  $0.0535  [113/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r13 b  $0.0554  [114/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r16 b  $0.0557  [115/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r14 c  $0.0563  [116/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r15 a  $0.0563  [117/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r17 c  $0.0574  [118/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r18 a  $0.0580  [119/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r22 b  $0.0583  [120/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r21 a  $0.0600  [121/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r20 c  $0.0603  [122/450, ~6m left]
OK   P16        openai/gpt-5.6-luna                    r0 a  $0.0605  [123/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r19 b  $0.0607  [124/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r23 c  $0.0614  [125/450, ~6m left]
OK   P16        openai/gpt-5.6-luna                    r1 b  $0.0622  [126/450, ~6m left]
OK   P16        openai/gpt-5.6-luna                    r3 a  $0.0625  [127/450, ~6m left]
OK   P16        openai/gpt-5.6-luna                    r4 b  $0.0627  [128/450, ~6m left]
FAIL P15        openai/gpt-5.6-luna                    r24 a  $0.0630  [129/450, ~6m left]
OK   P16        openai/gpt-5.6-luna                    r2 c  $0.0632  [130/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r5 c  $0.0635  [131/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r6 a  $0.0637  [132/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r8 c  $0.0643  [133/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r7 b  $0.0644  [134/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r10 b  $0.0646  [135/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r9 a  $0.0649  [136/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r12 a  $0.0651  [137/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r13 b  $0.0655  [138/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r14 c  $0.0658  [139/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r11 c  $0.0660  [140/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r17 c  $0.0665  [141/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r16 b  $0.0667  [142/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r15 a  $0.0668  [143/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r18 a  $0.0672  [144/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r20 c  $0.0674  [145/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r19 b  $0.0676  [146/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r21 a  $0.0680  [147/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r22 b  $0.0683  [148/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r23 c  $0.0689  [149/450, ~5m left]
OK   P16        openai/gpt-5.6-luna                    r24 a  $0.0689  [150/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r0 -  $0.0714  [151/450, ~5m left]
FAIL P17        openai/gpt-5.6-luna                    r1 -  $0.0719  [152/450, ~5m left]
