== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== dispatch order, cheapest first ==
  qwen/qwen3-235b-a22b-2507                      0.125
  openai/gpt-5.6-luna                            0.138

== balance: 20.0000 granted, 16.3019 used, 3.6981 remaining ==

== battery: 2 models x 11 probes x n=25, budget $1.50 ==
workers: 6

OK   P1         qwen/qwen3-235b-a22b-2507              r0 -  $0.0005  [1/550, ~77m left]
FAIL P1         qwen/qwen3-235b-a22b-2507              r4 -  $0.0010  [2/550, ~39m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r2 -  $0.0015  [3/550, ~28m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r1 -  $0.0021  [4/550, ~22m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r5 -  $0.0026  [5/550, ~21m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r3 -  $0.0032  [6/550, ~18m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r6 -  $0.0037  [7/550, ~19m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r9 -  $0.0042  [8/550, ~17m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r7 -  $0.0048  [9/550, ~15m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r8 -  $0.0053  [10/550, ~14m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r10 -  $0.0058  [11/550, ~13m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r11 -  $0.0064  [12/550, ~14m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r13 -  $0.0069  [13/550, ~16m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r12 -  $0.0074  [14/550, ~15m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r14 -  $0.0080  [15/550, ~15m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r15 -  $0.0085  [16/550, ~14m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r16 -  $0.0091  [17/550, ~14m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r19 -  $0.0096  [18/550, ~13m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r17 -  $0.0102  [19/550, ~13m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r18 -  $0.0107  [20/550, ~13m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r20 -  $0.0112  [21/550, ~13m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r22 -  $0.0117  [22/550, ~12m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r0 -  $0.0122  [23/550, ~13m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r23 -  $0.0128  [24/550, ~13m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r2 -  $0.0133  [25/550, ~12m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r1 -  $0.0143  [26/550, ~12m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r21 -  $0.0143  [27/550, ~12m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r3 -  $0.0148  [28/550, ~12m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r4 -  $0.0154  [29/550, ~12m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r5 -  $0.0159  [30/550, ~12m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r6 -  $0.0164  [31/550, ~11m left]
OK   P1         qwen/qwen3-235b-a22b-2507              r24 -  $0.0169  [32/550, ~11m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r7 -  $0.0174  [33/550, ~11m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r10 -  $0.0179  [34/550, ~11m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r8 -  $0.0184  [35/550, ~11m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r9 -  $0.0189  [36/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r11 -  $0.0194  [37/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r14 -  $0.0199  [38/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r16 -  $0.0204  [39/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r15 -  $0.0209  [40/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r12 -  $0.0215  [41/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r20 -  $0.0219  [42/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r13 -  $0.0225  [43/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r21 -  $0.0230  [44/550, ~10m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r17 -  $0.0235  [45/550, ~9m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r18 -  $0.0240  [46/550, ~9m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r19 -  $0.0245  [47/550, ~9m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r22 -  $0.0250  [48/550, ~9m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r23 -  $0.0255  [49/550, ~9m left]
OK   P11        qwen/qwen3-235b-a22b-2507              r24 -  $0.0260  [50/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r1 b  $0.0272  [51/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r0 a  $0.0275  [52/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r3 a  $0.0293  [53/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r4 b  $0.0296  [54/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r2 c  $0.0304  [55/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r7 b  $0.0317  [56/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r6 a  $0.0320  [57/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r9 a  $0.0333  [58/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r5 c  $0.0341  [59/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r12 a  $0.0344  [60/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r10 b  $0.0353  [61/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r11 c  $0.0361  [62/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r13 b  $0.0364  [63/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r8 c  $0.0390  [64/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r15 a  $0.0393  [65/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r18 a  $0.0395  [66/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r16 b  $0.0398  [67/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r19 b  $0.0411  [68/550, ~9m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r21 a  $0.0413  [69/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r22 b  $0.0435  [70/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r14 c  $0.0445  [71/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r17 c  $0.0449  [72/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r20 c  $0.0452  [73/550, ~8m left]
FAIL P15        qwen/qwen3-235b-a22b-2507              r24 a  $0.0460  [74/550, ~8m left]
FAIL P3         qwen/qwen3-235b-a22b-2507              r2 -  $0.0465  [75/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r3 -  $0.0470  [76/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r1 -  $0.0475  [77/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r4 -  $0.0480  [78/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r0 -  $0.0485  [79/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r6 -  $0.0490  [80/550, ~8m left]
FAIL P3         qwen/qwen3-235b-a22b-2507              r8 -  $0.0495  [81/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r10 -  $0.0500  [82/550, ~8m left]
FAIL P3         qwen/qwen3-235b-a22b-2507              r9 -  $0.0506  [83/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r5 -  $0.0511  [84/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r7 -  $0.0522  [85/550, ~8m left]
OK   P3         qwen/qwen3-235b-a22b-2507              r11 -  $0.0527  [86/550, ~7m left]
